mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour
112,2023-08-16 16:21:40,50.7421803,3.6020605,38.0,40.0,255.0,255.0,799.0,808.0,78.0,81.0,81.0,79.0,2023-08-16,16:21:40
112,2023-08-16 11:55:35,51.0359239,3.7100217,40.0,38.0,303.0,258.0,798.0,804.0,71.0,82.0,66.0,79.0,2023-08-16,11:55:35
112,2023-08-16 13:16:39,50.77035855,3.87170595,43.0,37.0,294.5,258.0,802.5,802.0,71.0,81.0,72.0,78.0,2023-08-16,13:16:39
112,2023-08-16 15:31:35,51.0359729,3.7097909,40.0,38.0,258.0,248.0,808.0,806.0,78.0,82.0,79.0,79.0,2023-08-16,15:31:35
112,2023-08-17 05:01:11,50.8514715,3.6014951,24.0,26.0,324.0,286.0,801.0,799.0,68.0,80.0,62.0,70.0,2023-08-17,05:01:11
112,2023-08-17 04:49:15,50.851437,3.6014887,25.0,26.0,324.0,307.0,795.0,806.0,68.0,77.0,63.0,66.0,2023-08-17,04:49:15
112,2023-08-17 15:13:57,50.742349,3.602625,40.0,38.0,255.0,251.0,805.0,804.0,77.0,81.0,79.0,79.0,2023-08-17,15:13:57
112,2023-08-17 15:08:00,50.7793373,3.6183595,42.0,43.0,441.0,434.0,1768.0,1770.0,83.0,85.0,79.0,80.0,2023-08-17,15:08:00
112,2023-08-17 06:32:15,51.0059424,3.6678402,43.0,43.0,462.0,417.0,1539.0,1521.0,76.0,83.0,76.0,82.0,2023-08-17,06:32:15
112,2023-08-18 07:51:10,51.0183799,3.7677137,38.0,41.0,227.0,355.0,838.0,992.0,88.0,83.0,88.0,81.0,2023-08-18,07:51:10
112,2023-08-18 08:20:08,51.0401128,3.6935973,31.0,35.0,303.0,262.0,804.0,790.0,67.0,81.0,70.0,78.0,2023-08-18,08:20:08
112,2023-08-18 07:13:10,50.8161761,3.8265078,39.0,41.0,276.0,238.0,800.0,793.0,75.0,83.0,73.0,81.0,2023-08-18,07:13:10
112,2023-08-18 08:16:12,51.0399318,3.6941586,34.0,36.0,296.0,258.0,806.0,799.0,68.0,81.0,70.0,78.0,2023-08-18,08:16:12
112,2023-08-18 02:20:03,50.8559031,3.6071953,21.0,23.0,358.0,348.0,799.0,789.0,65.0,68.0,55.0,57.0,2023-08-18,02:20:03
112,2023-08-18 07:40:11,50.9602221,3.7839742,43.0,42.0,427.0,410.0,1449.0,1451.0,86.0,85.0,87.0,87.0,2023-08-18,07:40:11
112,2023-08-18 08:40:12,51.0401049,3.6935982,27.0,33.0,324.0,265.0,800.0,793.0,66.0,81.0,64.0,77.0,2023-08-18,08:40:12
112,2023-08-19 08:50:28,51.0730239,3.7244637,38.0,37.0,451.0,389.0,1177.0,1188.0,71.0,82.0,66.0,77.0,2023-08-19,08:50:28
112,2023-08-19 10:37:23,51.02849465,3.75256135,38.0,30.0,317.0,256.5,800.0,802.0,67.0,81.0,65.0,77.0,2023-08-19,10:37:23
112,2023-08-19 15:11:26,51.1805396,3.5755351,45.0,38.0,248.0,244.0,795.0,802.0,78.0,82.0,82.0,80.0,2023-08-19,15:11:26
112,2023-08-19 06:42:25,51.0550888,3.7408062,42.0,34.0,300.0,251.0,797.0,793.0,71.0,82.0,70.0,80.0,2023-08-19,06:42:25
112,2023-08-19 07:41:24,51.0632323,3.7396709,41.0,38.0,262.0,248.0,800.0,808.0,75.0,82.0,80.0,79.0,2023-08-19,07:41:24
112,2023-08-19 17:32:35,51.1009573,3.7114738,41.0,43.0,207.0,210.0,788.0,807.0,89.0,87.0,90.0,87.0,2023-08-19,17:32:35
112,2023-08-19 14:00:29,51.021057,3.7640137,40.0,32.0,286.0,255.0,795.0,802.0,69.0,81.0,71.0,77.0,2023-08-19,14:00:29
112,2023-08-19 13:11:26,51.1634275,3.6008804,49.0,43.0,424.0,424.0,1668.0,1683.0,88.0,85.0,87.0,86.0,2023-08-19,13:11:26
112,2023-08-19 14:27:29,51.0231924,3.7600338,40.0,30.0,310.0,258.0,800.0,796.0,66.0,81.0,66.0,77.0,2023-08-19,14:27:29
112,2023-08-19 17:05:27,51.1606742,3.6049907,50.0,47.0,400.0,403.0,1653.0,1673.0,92.0,87.0,91.0,87.0,2023-08-19,17:05:27
112,2023-08-19 20:55:36,51.0914115,3.7202823,40.0,42.0,476.0,438.0,1553.0,1564.0,77.0,85.0,77.0,85.0,2023-08-19,20:55:36
112,2023-08-19 08:22:28,51.0228491,3.7606615,39.0,27.0,317.0,265.0,802.0,798.0,66.0,81.0,65.0,77.0,2023-08-19,08:22:28
112,2023-08-19 10:44:27,51.04216005,3.7521143,37.0,30.0,310.0,262.0,798.5,806.5,67.0,81.0,65.0,77.0,2023-08-19,10:44:27
112,2023-08-23 22:36:56,51.0134452,3.7807066,27.0,26.0,0.0,3.0,0.0,0.0,26.0,25.0,22.0,21.0,2023-08-23,22:36:56
112,2023-08-23 21:57:58,51.0133798,3.7806399,27.0,26.0,0.0,3.0,0.0,0.0,26.0,25.0,22.0,21.0,2023-08-23,21:57:58
112,2023-08-28 06:32:22,50.8546174,3.6048747,27.0,25.0,341.0,276.0,801.0,803.0,65.0,81.0,64.0,76.0,2023-08-28,06:32:22
112,2023-08-28 05:10:23,50.9992591,3.8016235,36.0,36.0,255.0,248.0,815.0,817.0,85.0,82.0,84.0,82.0,2023-08-28,05:10:23
112,2023-08-28 05:10:26,50.9999928,3.8011528,36.0,36.0,255.0,248.0,820.0,821.0,85.0,82.0,84.0,82.0,2023-08-28,05:10:26
112,2023-08-28 06:45:30,50.8513858,3.6014081,27.0,26.0,341.0,269.0,808.0,801.0,65.0,82.0,63.0,79.0,2023-08-28,06:45:30
112,2023-08-01 08:46:50,50.7421938,3.6020486,35.0,38.0,282.0,248.0,795.0,799.0,72.0,82.0,74.0,80.0,2023-08-01,08:46:50
112,2023-08-01 17:00:53,50.7422117,3.6020912,33.0,38.0,303.0,265.0,801.0,796.0,68.0,81.0,70.0,78.0,2023-08-01,17:00:53
112,2023-08-01 06:04:52,51.0355596,3.711088,36.0,38.0,272.0,255.0,799.0,801.0,74.0,81.0,75.0,79.0,2023-08-01,06:04:52
112,2023-08-01 17:51:59,50.9613281,3.6279319,40.0,41.0,244.0,234.0,803.0,796.0,83.0,84.0,81.0,84.0,2023-08-01,17:51:59
112,2023-08-01 08:53:53,50.7421847,3.6020352,33.0,37.0,307.0,258.0,796.0,801.0,68.0,81.0,70.0,77.0,2023-08-01,08:53:53
112,2023-08-01 18:51:02,51.0354614,3.7122991,27.0,33.0,483.0,431.0,1269.0,1312.0,68.0,81.0,66.0,77.0,2023-08-01,18:51:02
112,2023-08-01 03:00:41,51.1806123,3.5754814,35.0,33.0,300.0,262.0,797.0,802.0,70.0,81.0,71.0,80.0,2023-08-01,03:00:41
112,2023-08-01 10:51:48,51.1805982,3.5754755,37.0,41.0,248.0,248.0,809.0,799.0,80.0,81.0,82.0,81.0,2023-08-01,10:51:48
112,2023-08-02 14:18:42,50.8584652,3.8116952,40.0,41.0,262.0,238.0,797.0,798.0,79.0,84.0,77.0,81.0,2023-08-02,14:18:42
112,2023-08-02 12:25:35,51.0401301,3.6942179,28.0,24.0,348.0,338.0,802.0,804.0,69.0,70.0,58.0,58.0,2023-08-02,12:25:35
112,2023-08-02 14:17:42,50.8536262,3.8104483,40.0,41.0,472.0,438.0,1497.0,1497.0,79.0,83.0,79.0,82.0,2023-08-02,14:17:42
112,2023-08-02 17:18:40,50.9891669,3.8027234,37.0,39.0,445.0,414.0,1404.0,1390.0,78.0,83.0,78.0,84.0,2023-08-02,17:18:40
112,2023-08-02 16:08:41,50.7948198,3.8639528,42.0,40.0,458.0,410.0,1343.0,1334.0,75.0,83.0,73.0,81.0,2023-08-02,16:08:41
112,2023-08-03 02:29:05,50.7704662,3.8716174,20.0,23.0,424.0,410.0,802.0,806.0,56.0,60.0,45.0,47.0,2023-08-03,02:29:05
